CartPole-v1 --no-alpha-tune --alpha 1 --start_steps 1000,,,,,,HalfCheetah-v2 --start_steps 10000,,,,,,"FetchPush-v1, time to reach .1 success rate",,,,
ER,64,128,256,512,,ER,64,128,256,512,,ER,64,128,256,512
"50,000",500/50059,500/30645,500/28357,500/29288,,"50,000",8055.16/65075,,,8432.11/73102,,"50,000",-39.45/.13/369000,,,-38.23/.14/366000
"100,000",500/38520,500/26642,500/64567,500/30052,,"100,000",,,,,,"100,000",,,,
"500,000",--,--,--,--,,"500,000",,,,,,"500,000",,,,
"1,000,000",--,--,--,--,,"1,000,000",6891.02/89022,,,7276.86/86096,,"1,000,000",-40.63/.11/372000,,,-39.91/.13/428000
,,,,,,,,,,,,,,,,
PER,64,128,256,512,,PER,64,128,256,512,,PER,64,128,256,512
"50,000",500/5993,500/2943,500/17414,500/36560,,"50,000",7670.12/103113,,,7908.83/101856,,"50,000",-39.82/.12/216000,,,-38.77/.13/281000
"100,000",500/6845,500/7982,500/30587,500/39239,,"100,000",,,,,,"100,000",,,,
"500,000",--,--,--,--,,"500,000",,,,,,"500,000",,,,
"1,000,000",--,--,--,--,,"1,000,000",6239.64/201151,,,6018.91/194204,,"1,000,000",-41.30/.11/259000,,,-39.09/.13/315000
MountainCar-v1,,,,,,MountainCarContinuous-v1,,,,,,,,,,
HER,64,128,256,512,,HER,64,128,256,512,,HER,64,128,256,512
"50,000",256/1540,279/1681,241/1233,296/1149,,"50,000",-425/1450,-422/1258,-406/1509,-398/1026,,"50,000","-21.38/0.57/256000
",,,"-17.31/.69/152000
"
"100,000",230/2114,248/1242,262/1966,286/1308,,"100,000",-456/1706,-418/1495,-415/1401,-412/1376,,"100,000",,,,
"500,000",288/1965,242/2267,266/1354,267/2180,,"500,000",-438/1692,-461/1537,-411/1480,-404/1417,,"500,000",,,,
"1,000,000",--,--,--,--,,"1,000,000",--,--,--,--,,"1,000,000","-24.09/0.52/325000
",,,"-18.04/.67/277000
"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
HER + PER,64,128,256,512,,HER + PER,64,128,256,512,,HER + PER,64,128,256,512
"50,000",278/1213,260/1338,270/1254,318/1175,,"50,000",-413/1074,-409/1196,-399/1205,-401/1013,,"50,000","-22.89/0.55/198000
",,,"-18.28/.67/124000
"
"100,000",282/1227,255/1716,291/1409,294/1353,,"100,000",-439/1208,-416/1348,-425/1382,-416/1251,,"100,000",,,,
"500,000",279/1689,257/1864,263/1674,300/1412,,"500,000",-428/1471,-430/1393,-421/1577,-419/1698,,"500,000",,,,
"1,000,000",--,--,--,--,,"1,000,000",--,--,--,--,,"1,000,000","-23.37/0.53/223000
",,,"-18.54/.66/235000
"
Max Reward/Updates/Updates per sample,,,,,,,,,,,,,,,,
